"session_key","session_name","date_start","date_end","gmt_offset","session_type","meeting_key","location","country_key","country_code","country_name","circuit_key","circuit_short_name","year"
9465,"Practice 1","2024-02-29T11:30:00+00:00","2024-02-29T12:30:00+00:00","03:00:00","Practice",1229,"Sakhir",36,"BRN","Bahrain",63,"Sakhir",2024
9466,"Practice 2","2024-02-29T15:00:00+00:00","2024-02-29T16:00:00+00:00","03:00:00","Practice",1229,"Sakhir",36,"BRN","Bahrain",63,"Sakhir",2024
9467,"Practice 3","2024-03-01T12:30:00+00:00","2024-03-01T13:30:00+00:00","03:00:00","Practice",1229,"Sakhir",36,"BRN","Bahrain",63,"Sakhir",2024
9468,"Qualifying","2024-03-01T16:00:00+00:00","2024-03-01T17:00:00+00:00","03:00:00","Qualifying",1229,"Sakhir",36,"BRN","Bahrain",63,"Sakhir",2024
9472,"Race","2024-03-02T15:00:00+00:00","2024-03-02T17:00:00+00:00","03:00:00","Race",1229,"Sakhir",36,"BRN","Bahrain",63,"Sakhir",2024
9473,"Practice 1","2024-03-07T13:30:00+00:00","2024-03-07T14:30:00+00:00","03:00:00","Practice",1230,"Jeddah",153,"KSA","Saudi Arabia",149,"Jeddah",2024
9474,"Practice 2","2024-03-07T17:00:00+00:00","2024-03-07T18:00:00+00:00","03:00:00","Practice",1230,"Jeddah",153,"KSA","Saudi Arabia",149,"Jeddah",2024
9475,"Practice 3","2024-03-08T13:30:00+00:00","2024-03-08T14:30:00+00:00","03:00:00","Practice",1230,"Jeddah",153,"KSA","Saudi Arabia",149,"Jeddah",2024
9476,"Qualifying","2024-03-08T17:00:00+00:00","2024-03-08T18:00:00+00:00","03:00:00","Qualifying",1230,"Jeddah",153,"KSA","Saudi Arabia",149,"Jeddah",2024
9480,"Race","2024-03-09T17:00:00+00:00","2024-03-09T19:00:00+00:00","03:00:00","Race",1230,"Jeddah",153,"KSA","Saudi Arabia",149,"Jeddah",2024
9481,"Practice 1","2024-03-22T01:30:00+00:00","2024-03-22T02:30:00+00:00","11:00:00","Practice",1231,"Melbourne",5,"AUS","Australia",10,"Melbourne",2024
9482,"Practice 2","2024-03-22T05:00:00+00:00","2024-03-22T06:00:00+00:00","11:00:00","Practice",1231,"Melbourne",5,"AUS","Australia",10,"Melbourne",2024
9483,"Practice 3","2024-03-23T01:30:00+00:00","2024-03-23T02:30:00+00:00","11:00:00","Practice",1231,"Melbourne",5,"AUS","Australia",10,"Melbourne",2024
9484,"Qualifying","2024-03-23T05:00:00+00:00","2024-03-23T06:00:00+00:00","11:00:00","Qualifying",1231,"Melbourne",5,"AUS","Australia",10,"Melbourne",2024
9488,"Race","2024-03-24T04:00:00+00:00","2024-03-24T06:00:00+00:00","11:00:00","Race",1231,"Melbourne",5,"AUS","Australia",10,"Melbourne",2024
9489,"Practice 1","2024-04-05T02:30:00+00:00","2024-04-05T03:30:00+00:00","09:00:00","Practice",1232,"Suzuka",4,"JPN","Japan",46,"Suzuka",2024
9490,"Practice 2","2024-04-05T06:00:00+00:00","2024-04-05T07:00:00+00:00","09:00:00","Practice",1232,"Suzuka",4,"JPN","Japan",46,"Suzuka",2024
9491,"Practice 3","2024-04-06T02:30:00+00:00","2024-04-06T03:30:00+00:00","09:00:00","Practice",1232,"Suzuka",4,"JPN","Japan",46,"Suzuka",2024
9492,"Qualifying","2024-04-06T06:00:00+00:00","2024-04-06T07:00:00+00:00","09:00:00","Qualifying",1232,"Suzuka",4,"JPN","Japan",46,"Suzuka",2024
9496,"Race","2024-04-07T05:00:00+00:00","2024-04-07T07:00:00+00:00","09:00:00","Race",1232,"Suzuka",4,"JPN","Japan",46,"Suzuka",2024
9663,"Practice 1","2024-04-19T03:30:00+00:00","2024-04-19T04:30:00+00:00","08:00:00","Practice",1233,"Shanghai",53,"CHN","China",49,"Shanghai",2024
9668,"Sprint Qualifying","2024-04-19T07:30:00+00:00","2024-04-19T08:14:00+00:00","08:00:00","Qualifying",1233,"Shanghai",53,"CHN","China",49,"Shanghai",2024
9672,"Sprint","2024-04-20T03:00:00+00:00","2024-04-20T03:30:00+00:00","08:00:00","Race",1233,"Shanghai",53,"CHN","China",49,"Shanghai",2024
9664,"Qualifying","2024-04-20T07:00:00+00:00","2024-04-20T08:00:00+00:00","08:00:00","Qualifying",1233,"Shanghai",53,"CHN","China",49,"Shanghai",2024
9673,"Race","2024-04-21T07:00:00+00:00","2024-04-21T09:00:00+00:00","08:00:00","Race",1233,"Shanghai",53,"CHN","China",49,"Shanghai",2024
9497,"Practice 1","2024-05-03T16:30:00+00:00","2024-05-03T17:30:00+00:00","-04:00:00","Practice",1234,"Miami",19,"USA","United States",151,"Miami",2024
9502,"Sprint Qualifying","2024-05-03T20:30:00+00:00","2024-05-03T21:14:00+00:00","-04:00:00","Qualifying",1234,"Miami",19,"USA","United States",151,"Miami",2024
9506,"Sprint","2024-05-04T16:00:00+00:00","2024-05-04T16:30:00+00:00","-04:00:00","Race",1234,"Miami",19,"USA","United States",151,"Miami",2024
9498,"Qualifying","2024-05-04T20:00:00+00:00","2024-05-04T21:00:00+00:00","-04:00:00","Qualifying",1234,"Miami",19,"USA","United States",151,"Miami",2024
9507,"Race","2024-05-05T20:00:00+00:00","2024-05-05T22:00:00+00:00","-04:00:00","Race",1234,"Miami",19,"USA","United States",151,"Miami",2024
9508,"Practice 1","2024-05-17T11:30:00+00:00","2024-05-17T12:30:00+00:00","02:00:00","Practice",1235,"Imola",13,"ITA","Italy",6,"Imola",2024
9509,"Practice 2","2024-05-17T15:00:00+00:00","2024-05-17T16:00:00+00:00","02:00:00","Practice",1235,"Imola",13,"ITA","Italy",6,"Imola",2024
9510,"Practice 3","2024-05-18T10:30:00+00:00","2024-05-18T11:30:00+00:00","02:00:00","Practice",1235,"Imola",13,"ITA","Italy",6,"Imola",2024
9511,"Qualifying","2024-05-18T14:00:00+00:00","2024-05-18T15:00:00+00:00","02:00:00","Qualifying",1235,"Imola",13,"ITA","Italy",6,"Imola",2024
9515,"Race","2024-05-19T13:00:00+00:00","2024-05-19T15:00:00+00:00","02:00:00","Race",1235,"Imola",13,"ITA","Italy",6,"Imola",2024
9516,"Practice 1","2024-05-24T11:30:00+00:00","2024-05-24T12:30:00+00:00","02:00:00","Practice",1236,"Monaco",114,"MON","Monaco",22,"Monte Carlo",2024
9517,"Practice 2","2024-05-24T15:00:00+00:00","2024-05-24T16:00:00+00:00","02:00:00","Practice",1236,"Monaco",114,"MON","Monaco",22,"Monte Carlo",2024
9518,"Practice 3","2024-05-25T10:30:00+00:00","2024-05-25T11:30:00+00:00","02:00:00","Practice",1236,"Monaco",114,"MON","Monaco",22,"Monte Carlo",2024
9519,"Qualifying","2024-05-25T14:00:00+00:00","2024-05-25T15:00:00+00:00","02:00:00","Qualifying",1236,"Monaco",114,"MON","Monaco",22,"Monte Carlo",2024
9523,"Race","2024-05-26T13:00:00+00:00","2024-05-26T15:00:00+00:00","02:00:00","Race",1236,"Monaco",114,"MON","Monaco",22,"Monte Carlo",2024
9524,"Practice 1","2024-06-07T17:30:00+00:00","2024-06-07T18:30:00+00:00","-04:00:00","Practice",1237,"Montréal",46,"CAN","Canada",23,"Montreal",2024
9525,"Practice 2","2024-06-07T21:00:00+00:00","2024-06-07T22:00:00+00:00","-04:00:00","Practice",1237,"Montréal",46,"CAN","Canada",23,"Montreal",2024
9526,"Practice 3","2024-06-08T16:30:00+00:00","2024-06-08T17:30:00+00:00","-04:00:00","Practice",1237,"Montréal",46,"CAN","Canada",23,"Montreal",2024
